#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
1,94108,"37.791998, -122.408653","San Francisco, California",13716,53134.47,#48
2,94109,"37.794487, -122.422270","San Francisco, California",56322,46521.46,#64
3,94102,"37.779500, -122.419233","San Francisco, California",28991,44719.24,#71
4,94133,"37.802071, -122.411004","San Francisco, California",26827,40117.97,#77
5,94110,"37.750021, -122.415201","San Francisco, California",74633,31343.73,#111
6,94115,"37.786031, -122.437301","San Francisco, California",33115,29461.94,#121
7,94117,"37.770533, -122.445121","San Francisco, California",38738,27861.23,#125
8,94123,"37.800254, -122.436975","San Francisco, California",22903,22681.01,#165
9,94114,"37.758085, -122.434801","San Francisco, California",30574,22377.49,#167
10,94112,"37.720498, -122.443119","San Francisco, California",73104,22097.56,#171
11,94118,"37.781304, -122.461522","San Francisco, California",38939,22073.36,#172
12,94122,"37.760412, -122.484966","San Francisco, California",55492,17435.71,#261
13,94103,"37.773147, -122.411287","San Francisco, California",23016,17140.46,#268
14,94134,"37.721052, -122.413573","San Francisco, California",40134,16769.18,#279
15,94116,"37.744410, -122.486764","San Francisco, California",42958,16629.92,#283
16,94121,"37.776718, -122.495781","San Francisco, California",42473,14397.7,#353
17,94131,"37.746699, -122.442833","San Francisco, California",27897,13070.88,#400
18,94127,"37.736535, -122.457320","San Francisco, California",20624,10969.8,#525
19,94107,"37.768881, -122.395521","San Francisco, California",17368,7126.09,#999
20,94111,"37.801776, -122.402293","San Francisco, California",3335,7017.26,"#1,030"
21,94124,"37.731505, -122.384532","San Francisco, California",33170,6630.97,"#1,128"
22,94132,"37.722302, -122.491129","San Francisco, California",26291,6472.81,"#1,177"
23,94105,"37.789168, -122.395009","San Francisco, California",2058,5902.54,"#1,346"
24,94104,"37.791222, -122.402241","San Francisco, California",374,4597.82,"#1,941"
25,94130,"37.820894, -122.369725","San Francisco, California",1453,1612.54,"#5,061"
26,94129,"37.797526, -122.464531","San Francisco, California",2228,953.94,"#6,463"